# Catalyst ghost replay — t,x,y,thetaDeg
17.476418,9.3212,5.4900,63.836
17.498255,9.3809,5.4966,60.398
17.516282,9.4405,5.5033,56.961
17.540685,9.5001,5.5100,53.523
17.557647,9.5598,5.5166,50.085
17.579369,9.6194,5.5233,46.647
17.598485,9.6790,5.5300,43.210
17.619588,9.7386,5.5366,39.772
17.638818,9.7983,5.5433,36.433
17.657438,9.8579,5.5500,33.368
17.679900,9.9175,5.5566,30.579
17.699213,9.9772,5.5633,28.065
17.718343,10.0368,5.5700,25.826
17.740845,10.0964,5.5766,23.861
17.757493,10.1560,5.5833,22.113
17.777299,10.2157,5.5900,20.540
17.797222,10.2753,5.5966,19.124
17.820283,10.3349,5.6033,17.849
17.839905,10.3946,5.6100,16.702
17.859961,10.4542,5.6166,15.670
17.877921,10.5138,5.6233,14.741
17.900798,10.5698,5.6294,13.905
17.917842,10.6223,5.6351,13.153
17.936569,10.6711,5.6403,12.479
17.959957,10.7163,5.6450,11.876
17.979418,10.7580,5.6494,11.336
17.997697,10.7960,5.6535,10.855
18.018518,10.8304,5.6572,10.426
18.038125,10.8612,5.6606,10.044
18.058751,10.8885,5.6638,9.703
18.079331,10.9134,5.6667,9.396
18.099411,10.9363,5.6693,9.119
18.117845,10.9574,5.6718,8.870
18.138805,10.9768,5.6741,8.647
18.159209,10.9947,5.6761,8.445
18.177177,11.0111,5.6780,8.264
18.199118,11.0262,5.6798,8.101
18.219474,11.0377,5.6798,8.101
18.239468,11.0456,5.6798,8.101
18.259573,11.0499,5.6798,8.101
18.276589,11.0507,5.6798,8.101
18.300200,11.0507,5.6798,8.101
18.318680,11.0507,5.6798,8.101
18.336530,11.0507,5.6798,8.101
18.356919,11.0543,5.6762,7.826
18.380333,11.0615,5.6690,7.276
18.398208,11.0723,5.6588,6.451
18.416658,11.0867,5.6489,5.350
18.438892,11.1047,5.6391,3.975
18.459095,11.1263,5.6295,2.655
18.476221,11.1515,5.6200,1.481
18.500416,11.1803,5.6107,0.438
18.519366,11.2127,5.6014,-0.490
18.539408,11.2487,5.5923,-1.314
18.557036,11.2883,5.5833,-2.047
18.579228,11.3315,5.5744,-2.700
18.599612,11.3783,5.5655,-3.280
18.618987,11.4287,5.5567,-3.798
18.639668,11.4827,5.5479,-4.260
18.657646,11.5403,5.5391,-4.674
18.678178,11.5996,5.5304,-5.046
18.700294,11.6590,5.5216,-5.381
18.718733,11.7183,5.5128,-5.682
18.738003,11.7777,5.5041,-5.953
18.757767,11.8370,5.4953,-6.197
18.777469,11.8964,5.4866,-6.416
18.799168,11.9558,5.4778,-6.614
18.819270,12.0151,5.4691,-6.792
18.839569,12.0745,5.4603,-6.952
18.858315,12.1338,5.4515,-7.096
18.877010,12.1932,5.4428,-7.225
18.900832,12.2526,5.4340,-7.342
18.916858,12.3119,5.4253,-7.447
18.937067,12.3713,5.4165,-7.542
18.959067,12.4306,5.4078,-7.627
18.977228,12.4900,5.3990,-7.703
18.996503,12.5493,5.3902,-7.772
19.016610,12.6087,5.3815,-7.834
19.037773,12.6681,5.3727,-7.890
19.059437,12.7274,5.3640,-7.940
19.076696,12.7868,5.3552,-7.985
19.100270,12.8438,5.3468,-8.026
19.118017,12.8973,5.3391,-8.063
19.138589,12.9471,5.3319,-8.097
19.158922,12.9934,5.3254,-8.130
19.177957,13.0361,5.3193,-8.164
19.199643,13.0751,5.3138,-8.197
19.216329,13.1106,5.3087,-8.232
19.240327,13.1424,5.3040,-8.266
19.258654,13.1710,5.2997,-8.298
19.275921,13.1974,5.2957,-8.327
19.300553,13.2216,5.2921,-8.353
19.318141,13.2438,5.2887,-8.377
19.340109,13.2643,5.2856,-8.398
19.356916,13.2832,5.2827,-8.417
19.380229,13.3005,5.2801,-8.434
19.399321,13.3165,5.2777,-8.449
19.417084,13.3312,5.2755,-8.463
19.440082,13.3423,5.2755,-8.463
19.458305,13.3497,5.2755,-8.463
19.476012,13.3536,5.2755,-8.463
19.496545,13.3539,5.2755,-8.463
19.519854,13.3539,5.2755,-8.463
19.538608,13.3539,5.2755,-8.463
19.559079,13.3539,5.2755,-8.463
19.577138,13.3539,5.2755,-8.463
19.600043,13.3539,5.2755,-8.463
19.618347,13.3539,5.2755,-8.463
19.639688,13.3539,5.2755,-8.463
19.655953,13.3539,5.2755,-8.463
19.676853,13.3539,5.2755,-8.463
19.700168,13.3539,5.2755,-8.463
19.718987,13.3539,5.2755,-8.463
19.740010,13.3539,5.2755,-8.463
19.759140,13.3539,5.2755,-8.463
19.778909,13.3539,5.2755,-8.463
19.798945,13.3539,5.2755,-8.463
19.817343,13.3539,5.2755,-8.463
19.840550,13.3539,5.2755,-8.463
19.856851,13.3539,5.2755,-8.463
19.878833,13.3539,5.2755,-8.463
19.897012,13.3539,5.2755,-8.463
19.919064,13.3539,5.2755,-8.463
19.939808,13.3539,5.2755,-8.463
19.959294,13.3539,5.2755,-8.463
19.979466,13.3539,5.2755,-8.463
19.999943,13.3539,5.2755,-8.463
20.018053,13.3539,5.2755,-8.463
